OSC Name,Mobile Tab,Object Type,MIDI Message Type,Number/Note,Parameter
sub1,submasters,Toggle Button,Note On,60,
sub2,submasters,Toggle Button,Note On,61,
sub3,submasters,Toggle Button,Note On,62,
sub4,submasters,Toggle Button,Note On,63,
sub5,submasters,Toggle Button,Note On,64,
sub6,submasters,Toggle Button,Note On,65,
sub7,submasters,Toggle Button,Note On,66,
sub8,submasters,Toggle Button,Note On,67,
sub9,submasters,Toggle Button,Note On,68,
sub10,submasters,Toggle Button,Note On,69,
sub11,submasters,Toggle Button,Note On,70,
sub12,submasters,Toggle Button,Note On,71,
sub13,submasters,Toggle Button,Note On,72,
sub14,submasters,Toggle Button,Note On,73,
sub15,submasters,Toggle Button,Note On,74,
sub16,submasters,Toggle Button,Note On,75,
sub17,submasters,Toggle Button,Note On,76,
sub18,submasters,Toggle Button,Note On,77,
sub19,submasters,Toggle Button,Note On,78,
sub20,submasters,Toggle Button,Note On,79,
sub21,submasters,Toggle Button,Note On,80,
sub22,submasters,Toggle Button,Note On,81,
sub23,submasters,Toggle Button,Note On,82,
sub24,submasters,Toggle Button,Note On,83,
stage,keys,Push Button,Control Change,86,36
blind,keys,Push Button,Control Change,86,37
patch,keys,Push Button,Control Change,86,38
setup,keys,Push Button,Control Change,86,39
page,keys,Push Button,Control Change,86,30
type,keys,Push Button,Control Change,86,31
link,keys,Push Button,Control Change,86,32
wait,keys,Push Button,Control Change,86,33
track,keys,Push Button,Control Change,86,34
cue,keys,Push Button,Control Change,86,20
submaster,keys,Push Button,Control Change,86,21
group,keys,Push Button,Control Change,86,28
time,keys,Push Button,Control Change,86,29
record,keys,Push Button,Control Change,86,24
channel,keys,Push Button,Control Change,86,22
through,keys,Push Button,Control Change,86,25
and,keys,Push Button,Control Change,86,26
except,keys,Push Button,Control Change,86,35
release,keys,Push Button,Control Change,86,18
dimmer,keys,Push Button,Control Change,86,23
at,keys,Push Button,Control Change,86,16
full,keys,Push Button,Control Change,86,15
level,keys,Push Button,Control Change,86,17
focuspoint,keys,Push Button,Control Change,86,27
7,keys,Push Button,Control Change,86,6
8,keys,Push Button,Control Change,86,7
9,keys,Push Button,Control Change,86,8
4,keys,Push Button,Control Change,86,3
5,keys,Push Button,Control Change,86,4
6,keys,Push Button,Control Change,86,5
1,keys,Push Button,Control Change,86,0
2,keys,Push Button,Control Change,86,1
3,keys,Push Button,Control Change,86,2
-,keys,Push Button,Control Change,86,11
0,keys,Push Button,Control Change,86,9
+,keys,Push Button,Control Change,86,12
clear,keys,Push Button,Control Change,86,14
.,keys,Push Button,Control Change,86,10
enter,keys,Push Button,Control Change,86,13
blackout,keys,Toggle Button,Control Change,86,19
abGo,cues,Push Button,Program Change,,0
abClear,cues,Push Button,Control Change,86,40
abRate,cues,Push Button,Control Change,86,41
abBack,cues,Push Button,Control Change,86,42
abHold,cues,Push Button,Control Change,86,43
cdGo,cues,Push Button,Control Change,77,0
cdClear,cues,Push Button,Control Change,86,44
cdRate,cues,Push Button,Control Change,86,45
cdBack,cues,Push Button,Control Change,86,46
cdHold,cues,Push Button,Control Change,86,47
sub1Label,submasters,Label,,,
sub2Label,submasters,Label,,,
sub3Label,submasters,Label,,,
sub4Label,submasters,Label,,,
sub5Label,submasters,Label,,,
sub6Label,submasters,Label,,,
sub7Label,submasters,Label,,,
sub8Label,submasters,Label,,,
sub9Label,submasters,Label,,,
sub10Label,submasters,Label,,,
sub11Label,submasters,Label,,,
sub12Label,submasters,Label,,,
sub13Label,submasters,Label,,,
sub14Label,submasters,Label,,,
sub15Label,submasters,Label,,,
sub16Label,submasters,Label,,,
sub17Label,submasters,Label,,,
sub18Label,submasters,Label,,,
sub19Label,submasters,Label,,,
sub20Label,submasters,Label,,,
sub21Label,submasters,Label,,,
sub22Label,submasters,Label,,,
sub23Label,submasters,Label,,,
sub24Label,submasters,Label,,,
stageLabel,keys,Label,,,
blindLabel,keys,Label,,,
patchLabel,keys,Label,,,
setupLabel,keys,Label,,,
pageLabel,keys,Label,,,
typeLabel,keys,Label,,,
linkLabel,keys,Label,,,
waitLabel,keys,Label,,,
trackLabel,keys,Label,,,
cueLabel,keys,Label,,,
submasterLabel,keys,Label,,,
groupLabel,keys,Label,,,
timeLabel,keys,Label,,,
recordLabel,keys,Label,,,
channelLabel,keys,Label,,,
throughLabel,keys,Label,,,
andLabel,keys,Label,,,
exceptLabel,keys,Label,,,
releaseLabel,keys,Label,,,
dimmerLabel,keys,Label,,,
atLabel,keys,Label,,,
fullLabel,keys,Label,,,
levelLabel,keys,Label,,,
focuspointLabel,keys,Label,,,
7Label,keys,Label,,,
8Label,keys,Label,,,
9Label,keys,Label,,,
4Label,keys,Label,,,
5Label,keys,Label,,,
6Label,keys,Label,,,
1Label,keys,Label,,,
2Label,keys,Label,,,
3Label,keys,Label,,,
-Label,keys,Label,,,
0Label,keys,Label,,,
+Label,keys,Label,,,
clearLabel,keys,Label,,,
.Label,keys,Label,,,
enterLabel,keys,Label,,,
blackoutLabel,keys,Label,,,
abGoLabel,cues,Label,,,
abClearLabel,cues,Label,,,
abRateLabel,cues,Label,,,
abBackLabel,cues,Label,,,
abHoldLabel,cues,Label,,,
cdGoLabel,cues,Label,,,
cdClearLabel,cues,Label,,,
cdRateLabel,cues,Label,,,
cdBackLabel,cues,Label,,,
cdHoldLabel,cues,Label,,,
submasterSectionLabel,submasters,Label,,,
cueSectionLabel,cues,Label,,,
abSectionLabel,cues,Label,,,
cdSectionLabel,cues,Label,,,
timeDisplay,submasters,Label,,,
