Macro #,Description,Instruction Set
128,Number 1,[1]
129,Number 2,[2]
130,Number 3,[3]
131,Number 4,[4]
132,Number 5,[5]
133,Number 6,[6]
134,Number 7,[7]
135,Number 8,[8]
136,Number 9,[9]
137,Number 0,[0]
138,Dot,[.]
139,Minus,[-]
140,Plus,[+]
141,Enter,[Enter]
142,Clear,[Clear]
143,Set to FL,[FL]
144,At,[At]
145,Level,[Level]
146,Release,[Rel]
147,Blackout,[Blackout]
148,Change to Cue,[Cue]
149,Change to Submaster,[Sub]
150,Change to Channel,[Chan]
151,Dimmer,[Dim]
152,Record,[Rec]
153,Through,[Thru]
154,And,[And]
155,Focus,[Focus]
156,Group,[Group]
157,Time,[Time]
158,Page,[Page]
159,Type,[Type]
160,Link,[Link]
161,Wait,[Wait]
162,Track,[Track]
163,Except,[Except]
164,Stage,[Stage]
165,Blind,[Blind]
166,Patch,[Patch]
167,Setup,[Setup]
168,Clear A/B,[ClearAB]
169,Rate A/B,[RateAB]
170,Back A/B,[BackAB]
171,Hold A/B,[HoldAB]
172,Clear C/D,[ClearCD]
173,Rate C/D,[RateCD]
174,Back C/D,[BackCD]
175,Hold C/D,[HoldCD]
